;Modelname;CESM_MSE;CESM_Correlation;FOCI_MSE;FOCI_Correlation
Lead_time: 6 seq_length: 16;LSTM;1.008347736416378;0.3426186473775091;0.7894416144507251;0.1311720751107726
Lead_time: 6 seq_length: 17;LSTM;1.0273690186780213;0.32160899088409556;0.7856029909712535;0.12312982556163128
Lead_time: 6 seq_length: 18;LSTM;1.0423822922611754;0.3032712051433948;0.7880800210754926;0.1389901434233484
Lead_time: 6 seq_length: 19;LSTM;1.0185005906785494;0.3333086791558693;0.7874536501089193;0.1436498928843735
Lead_time: 6 seq_length: 2;LSTM;1.0139960711902947;0.32739543054812514;0.7919657808296039;0.13267204059169643
Lead_time: 6 seq_length: 20;LSTM;1.027948916856122;0.3171111119254257;0.7869934797710957;0.12278394890105439
Lead_time: 6 seq_length: 21;LSTM;1.0395676419429056;0.29745387476683327;0.7822210519174186;0.15434146844943075
Lead_time: 6 seq_length: 22;LSTM;1.0116967137947093;0.3447440306664545;0.7762996249145184;0.1605436827970254
Lead_time: 6 seq_length: 23;LSTM;1.0258747781819757;0.3152637295132426;0.7804541354167508;0.15455684708782913
Lead_time: 6 seq_length: 24;LSTM;1.0299186111860505;0.3103947311659643;0.7768819801789925;0.16121533336562816
Lead_time: 6 seq_length: 3;LSTM;1.0443478960906527;0.2756300372847895;0.7861378656024365;0.15138509935756939
Lead_time: 6 seq_length: 4;LSTM;1.0232971026483564;0.30860562308991674;0.7859390164666322;0.15127349680128996
Lead_time: 6 seq_length: 5;LSTM;1.0123603231534188;0.3294248162291291;0.7879987807206085;0.14984205331492276
Lead_time: 6 seq_length: 6;LSTM;1.002967588937101;0.3391073877629005;0.79542601022151;0.12050883485252446
Lead_time: 6 seq_length: 7;LSTM;1.027564315101158;0.30479235641082747;0.7901440318326114;0.10875410165946761
Lead_time: 6 seq_length: 8;LSTM;1.0207078754056949;0.31647230201576737;0.7813831880243632;0.15148242249266483
Lead_time: 6 seq_length: 9;LSTM;1.0213789959893083;0.3166135275955486;0.7834634231892023;0.12296509255904219
